HABERLER,ETIKET
"Manchester City'nin transfer etmek istediği Alexis Sanchez, bugün Manchester City ile oynanan maçtaki kötü performansının ardından maç bitiminde City'nin yardımcı antrenörü Mikel Arteta'ya da sarılınca taraftarları oldukça öfkelendirdi.",Spor
"Fenerbahçe Doğuş'un Türk oyuncuları, A Milli Takım'da forma giymeyeceklerini açıkladı.",Spor
"Beşiktaş Teknik Direktörü Şenol Güneş, 3-1 kazandıkları Göztepe maçının ardından açıklamalarda bulundu. Güneş, puan ortalaması olarak geride kaldıklarını ifade etti.",Spor
"Son dönemde Milli Takım'da gösterdiği iyi perforamnsla dikkat çeken Emre Mor, Celta Vigo idmanında yaşadığı sakatlık sebebiyle A Milli Takım'ın Romanya ve Arnavutluk maçları kadrosundan çıkarıldı.",Spor
İtalyan futbolunun efsane ismi Andrea Pirlo 38 yaşında futbolu bıraktı. Pirlo son olarak MLS ekiplerinden New York City forması giyiyordu.,Spor
"19 Yaş Altı Milli Futbol Takımı, Antalya'nın Manavgat ilçesinde yarın başlayacak Avrupa Şampiyonası Elemeleri 13. Grup maçlarının hazırlıklarını tamamladı.",Spor
Galatasaray'da forma şansı bulmakta zorlanan isimlerden Yasin Öztekin'e Karabükspor'dan teklif var.,Spor
"Süper Lig'e verilen milli arada Trabzonspor Teknik Direktörü Rıza Çalımbay, takımı daha yakından tanımak ve devre arasındaki transfer politikasını belirlemek için takımı kampa sokuyor.",Spor
"Nadal, Paris Masters'tan çekildi: Turnuvada çeyrek finale çıkan İspanyol sporcu, dizindeki sakatlık nedeniyle çekildiğini duyurdu.",Spor
"Tenis turnuvalarından elde ettiği geliri yaklaşık 110 milyon dolara çıkaran İsviçreli Federer, bu alanda Djokovic'i geçerek zirveye çıktı.",Spor
"Milli motosikletçi Kenan Sofuoğlu, Dünya Supersport Şampiyonası'nın son ayağı Katar'daki yarışı üçüncü, genel klasmanda ise sezonu ikinci sırada tamamladı.",Spor
"NBA'de Houston Rockets forması giyen Harden, takımının Utah Jazz'ı yendiği maçta, 54'ü üç çeyrekte 56 sayı ve 13 asist üretti.",Spor
"Amerikan Basketbol Ligi'nde (NBA) oynanan maçta Cleveland Cavaliers, deplasmanda Washington Wizards'ı 130-122 yendi.",Spor
"Süper Lig'de liderliğini sürdüren sarı-kırmızılı takım, geride kalan 11 haftalık bölümde birçok önemli istatistikte de rakiplerinin önünde yer alıyor.",Spor
"A Milli Futbol Takımı Teknik Direktörü Mircea Lucescu, futbol federasyonuyla birlikte yabancı oyuncu sınırlaması getireceklerini söyledi.",Spor
Galatasaray Odeabank'ta alınan kötü sonuçların ardından başantrenör Erman Kunter ile yollar ayrılıyor. Yönetim Oktay Mahmuti ile büyük ölçüde anlaşmaya vardı.,Spor
"Vincent Janssen, Hollanda Milli Takımı'ndan çıkarıldı",Spor
"Trabzonspor, Arjantinli yıldız ile yolları ayırmayı planlıyor. Milan ise yaptığı anlaşmaya göre Sosa'nın bonservisini ocak ayında alması gereken Bordo-Mavililer, bu mecburi hakkı kullanmak istemiyor.",Spor
"Süper Lig'de Osmanlıspor ile yapılan maçtan sonra istifa sinyali veren Fenerbahçe Teknik Direktörü Aykut Kocaman, takımının başında antrenmana çıktı.",Spor
"Fenerbahçe, Teknik Direktör Aykut Kocaman ile yola devam edileceğini açıkladı.",Spor
Galatasaray'ın yıldız golcüsü Bafetimbi Gomis ara vermeden çalışmalara devam ediyor. Bu kez adres bir otopark...,Spor
Fenerbahçe'de kadro dışı bırakılan ve ayrılık hazırlığı yapan Mehmet Topal'ın yeni adresi belli gibi... ,Spor
"Göztepe Başkanı Mehmet Sepil, Süper Lig'de pazar günü Beşiktaş ile oynanan son maçta kuzey kale arkası tribünde küfürlü pankart açılmasına ateş püskürdü.",Spor
Milli Takım'da Kaan Ayhan yerine Barış Yardımcı kadroya dahil edildi,Spor
Sivasspor'un Konyaspor'u 2-1 yendiği maçta Cüneyt Çakır'ın verdiği hatalı penaltı kararı yankı uyandırdı.,Spor
"Beşiktaş, Süper Lig'in 11. haftasında deplasmanda oynanan Gözetpe maçında, taraftarının yapmış olduğu çirkin ve kötü tezahürat ve saha olayları sebebiyle PFDK'ya sevk edildi.",Spor
İspanya'da Celta Vigo forması giyen milli futbolcu Emre Mor'un sağ ayak bileğindeki sakatlığın iyileşme süresinin 10-15 gün olduğu bildirildi.,Spor
"TFF 1. Lig ekiplerinden Altınordu Kulubü Başkanı Seyit Mehmet Özkan, A Milli Takım kariyerini noktaladığını açıklayan Nuri Şahin'i İzmir'e davet etti.",Spor
TFF Başkan Vekili Ali Dürüst yabancı sınırlamasının şu an değişmeyeceğini söyledi.,Spor
"Kadrosunda iki golcüsü de sakatlanan Levante, İspanya La Liga'dan alınan özel izinle Villarreal'in Türk forveti Enes Ünal'ı kiralık olarak kadrosuna katmıştı.",Spor
"A Milli Takım ve Milan'ın yıldız ismi Hakan Çalhanoğlu, basın mensuplarına açıklamalarda bulundu.",Spor
"Anadolu Efes oyuncuları Doğuş Balbay ve Birkan Batuk, ay sonunda oynanacak olan FIBA 2019 Dünya Kupası Elemeleri'nde milli takım forması giyecekler.",Spor
"Turkish Airlines EuroLeague ekiplerinden Real Madrid'de, Iberostar Tenerife maçında sakatlanan Ayon'un durumu sıkıntı yarattı.",Spor
"Beşiktaş, başarılı orta saha oyuncusu Tolgay Arslan ile 5 yıllık sözleşme yeniledi.",Spor
"TFF 1. Lig ekiplerinden Eskişehirspor, Teknik Direktör Sergen Yalçın ile 1 yıllık sözleşme imzaladı.",Spor
"Felipe Melo, kulübü Palmeiras ile olan sözleşmesini karşılıklı olarak fesh etti. ",Spor
"A Milli Kadın Basketbol Takımı Başantrenörü Ekrem Memnun, 2019 Avrupa Şampiyonası'na grup birincisi olarak gitmek istediklerini söyledi.",Spor
"A Milli Takım Teknik Direktörü Mircea Lucescu ve yıldız futbolcu Hakan Çalhanoğlu, Romanya maçı öncesi basın toplantısı düzenledi. ",Spor
"Galatasaray Başkanı Dursun Özbek, transfer konusunda önemli açıklamalar yaptı.",Spor
"Galatasaray Kulübü, sezon sonunu beklemeden Ocak ayında 4 oyuncu ile anlaşarak yollarını ayırmak istiyor.",Spor
"Galatasaray'ın Hollandalı eski yıldızı Wesley Sneijder, kariyeri hakkında Hollanda basınına önemli açıklamalarda bulundu.",Spor
Milli maçlar dolayısıyla lige verilen arada Antalya'da kamp yapan Trabzonspor ilk antrenmanına çıktı.,Spor
"İngiltere Premier Lig'de 4 puanla son sırada bulunan ve sadece 4 gol atabilen Crystal Palace, Cenk Tosun için Beşiktaş'ın istediği rakamı ödememenin pişmanlığı içinde...",Spor
"A Milli Takım kampında bulunan Ozan Tufan, Fenerbahçe'de son günlerde yaşanan gelişmelere dair değerlendirmelerde bulundu.",Spor
"Son olarak milli takım ve Galatasaray Odeabank'ta görev yapan koç Ergin Ataman, boşta olduğu dönemi Amerika'da geçiriyor. Tecrübeli koç San Antonio Spurs ile antrenmana çıktı.",Spor
"Turkish Airlines EuroLeague'de bu hafta Olympiacos-Panathinaikos derbisinin heyecanı yaşanırken, Olympiacos'un yıldız ismi Spanoulis, bu hafta da forma giyemeyecek.",Spor
"Samsunspor Kulübü Başkan Yardımcısı Rüştü Araboğlu, TFF 1. Lig'in 12. haftasında Adanaspor'la yapacakları maça ideal kadroyla çıkıp 3 puan mücadelesi vereceklerini söyledi.",Spor
"Gençlerbirliği'ne kötü haber: Kırmızı-siyahlı ekibin, Galatasaray ile oynadığı maçta sakatlanan Serdar Özkan, yaklaşık 1,5 ay sahalardan uzak kalacak.",Spor
Ünlü Teknik Direktör Yılmaz Vural gündeme dair önemli açıklamalar yaparken Fenerbahçe Teknik Direktörü Aykut Kocaman için çarpıcı ifadeler kullandı.,Spor
"Basketbol FIBA Erkekler Avrupa Kupası 4. hafta karşılaşmasında İstanbul Büyükşehir Belediyespor, konuk ettiği Romanya temsilcisi U-BT Cluj Napoca'yı 92-82 yendi.",Spor
"Gaziantep Basketbol, FIBA Şampiyonlar Ligi B Grubu 5. maçında Letonya ekibi Ventspils'e 99-74 yenildi.",Spor
Profesyonel Tenisçiler Birliği (ATP) Dünya Turu Finalleri'nde gruplar belirlendi,Spor
"VakıfBank, CEV Kadınlar Şampiyonlar Ligi 3. tur ilk maçında, deplasmanda Belarus ekibi Minchanka'yı 3-0 yendi.",Spor
"Çanakkale Belediyespor, Brezilyalı voleybolcu Joyce Gomes da Silva'yı renklerine bağladı.",Spor
"Voleybol Efeler Ligi 8. hafta karşılaşmasında İstanbul Büyükşehir Belediyespor, Galatasaray HDI Sigorta'yı 3-0 yendi.",Spor
"Paris Masters Tenis Turnuvası finalinde Sırp rakibi Filip Krajinovic'i 2-1 yenen ABD'li Jack Sock, şampiyonluğa ulaştı.",Spor
"VESTEL Venüs Sultanlar Ligi'nin 6'ncı haftasında Galatasaray'a evinde 3-1 mağlup olan Seramiksan, üst üste 4'üncü yenilgisini aldı.",Spor
"Türk futbolunun unutulmaz isimlerinden biri olan Nihat Kahveci, Romanya-Türkiye maçı oynandığı sırada Lucescu'yu Twitter'dan sert bir dille eleştirdi ve istifaya çağırdı.",Spor
Sezon sonunda Arsenal'le sözleşmesi bitecek olan Mesut Özil için Londra ekibi tam 35 milyon euroluk bonservis bedeli belirledi. ,Spor
"Tahkim Kurulu, Galatasaraylı Sofiane Feghouli'nin 3 maçlık cezasını onadı.",Spor
"Bursaspor'da sakatlığı nedeniyle bir süredir takımdan ayrı çalışan Yusuf Erdoğan, birkaç hafta içerisinde sahalara döneceğini söyledi.",Spor
"Uluslararası Olimpiyat Komitesi (IOC) tarafından 4 Rus sporcuya, doping nedeniyle ömür boyu men cezası verildi.",Spor
"İskoçya ile Hollanda hazırlık maçında karşı karşıya geldi. Hollanda, Depay'ın attığı gol ile İskoçya'yı 1-0 mağlup etti.",Spor
"TFF 1. Başkanvekili ve UEFA Yönetim Kurulu üyesi Servet Yardımcı, Türkiye'nin Euro 2024 adaylık süreciyle ilgili İngiliz Skysports'tan James Dale'e çarpıcı açıklamalarda bulundu.",Spor
"Dünya Kupası elemeleri play-off turu ilk maçında İsviçre, deplasmadan Kuzey İrlanda'yı 1-0 mağlup etti.",Spor
"2018 Dünya Kupası Elemeleri Play-Off mücadelesi ilk maçında Hırvatistan, Maksimir Stadyumu'nda Yunanistan'ı ağırladı. Mücadeleyi ev sahibi Hırvatistan, rakibini 4-1'lik skorla devirdi ve 2. maç öncesi büyük avantaj sağladı.",Spor
"A Milli Futbol Takımı, hazırlık maçında deplasmanda Romanya ile karşılaştı. 10 ismi kadroya almayan ve yeni bir ekip kurmanın sinyallerini veren Lucescu gençlerden kurulu bir 11'le sahaya çıktı. Millilerimiz mücadelede hiç bir varlık gösteremezken sahadan 2-0'lık yenilgiyle ayrıldı.",Spor
Süper Lig'de son olarak Beşiktaş'a sahasında 3-1 mağlup olan Göztepe'de transfer harekatı başladı.,Spor
Beşiktaş'ın transfer listesinde bulunan Brezilyalı futbolculardan Lucas Lima'nın ligin devre arasında alınması için pazarlıkların başladığı öğrenildi.,Spor
Beşiktaş'ta Caner Erkin belirsizliği devam ediyor. Yıldız futbolcu bu akşam yapılan idmanda takımdan ayrı çalıştı.,Spor
"Süper Lig İlhan Cavcav Sezonu 12. hafta müsabakasında Demir Grup Sivasspor ile Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi'nde karşılaşacak olan Fenerbahçe, bu maçın hazırlıklarını Can Bartu Tesisleri'nde yaptığı antrenmanla sürdürdü.",Spor
"Turkish Airlines EuroLeague'de Olimpia Milan, sahasında konuk ettiği Zalgiris'e flaş bir skorla 94-62 mağlup oldu.",Spor
"Turkish Airlines EuroLeague'de Maccabi Fox Tel Aviv, sahasında konuk ettiği Real Madrid'i 90-83 mağlup etti.",Spor
"Paris Masters'da üçüncü tura çıkan 31 yaşındaki Nadal, 2017 yılını Federer'in önünde tamamlayacak.",Spor
"Kadın Tenisçiler Birliği (WTA) tarafından düzenlenen 2017 WTA Finalleri'nin şampiyonu, ABD'li Venus Williams'ı 2-0 yenen Danimarkalı Caroline Wozniacki oldu.",Spor
"VakıfBank, CEV Kadınlar Şampiyonlar Ligi 3. tur ilk maçında, deplasmanda Belarus ekibi Minchanka'yı 3-0 yendi.",Spor
"Voleybol Efeler Ligi 7. hafta derbi maçında Galatasaray HDI Sigorta, sahasında Beşiktaş'ı 3-0 yendi. Maçın ardından Galatasaray HDI Sigorta Antrenörü Özbey, ""Biz Galatasaray formasının hakkını vererek oynamak istiyoruz"" dedi.",Spor
"Milli Takım teknik direktörü Mircea Lucescu, Arnavutluk maçı öncesi düzenlenen basın toplantısında açıklamalarda bulundu.",Spor
Manchester United'ın Belçikalı orta saha oyuncusu Marouane Fellaini'nin 10 milyon euroluk bonservis bedeli karşılığında Beşiktaş'a transfer olacağı iddia edildi.,Spor
2018 FIFA Dünya Kupası öncesi dev takımların provaları sürüyor. Rusya'da düzenlenecek Dünya Kupası'na katılmayı garantileyen ekiplerden İngiltere ile Brezilya hazırlık maçında karşı karşıya gelecek. ,Spor
"Sarı-Kırmızılı kulüp devre arasında kadrosuna katmak istediği oyunculardan Emre Mor için, Celta Vigo'ya kiralama teklifinde bulunacak.",Spor
Tolgay Arslan Şampiyonlar Ligi'nde Real Madrid'i istiyor!,Spor
"Milli Futbolcu Ömer Toprak, sakatlığı nedeniyle Arnavutluk maçının aday kadrosundan çıkarıldı.",Spor
Arda Turan için ayrılık iddiası! Satış listesinde...,Spor
Sezon başından bu yana Galatasaray'la birçok kez ismi anılan Kwadwo Asamoah için son iddia Fransa'dan geldi. ,Spor
"Latovlevici ve Martin Linnes... Mevcut Galatasaray kadrosunda sol bekte dönüşümlü oynayan iki futbolcu. Aslan'ın hocası Tudor, iki oyuncunun da performansından memnun değil.",Spor
"2018 Dünya Kupası Afrika Elemeleri C Grubu'nda Fas, deplasmanda karşılaştığı Fildişi Sahili'ni 2-0 mağlup ederek, Rusya'daki Dünya Kupası'na katılma hakkı kazandı. ",Spor
"Galatasaray, antrenman maçında karşılaştığı TFF 1. Lig ekiplerinden Ümraniyespor'u 3-2 mağlup etti.",Spor
"A Milli Futbol Takımı, hazırlık maçında yarın karşılaşacağı Arnavutluk ile 10. kez karşı karşıya gelecek.",Spor
"İtalya Milli Olimpiyat Komitesi (CONI) Başkanı Giovanni Malago, İtalya Milli Futbol Takımı'nın Dünya Kupası finallerine katılamamasının sportif açıdan ülkeyi büyük hayal kırıklığına uğratacağını söyledi.",Spor
"Türkiye Futbol Federasyonu (TFF) Futbol Gelişim Direktörü ve Genç Milli Takımlar Sorumlusu Tolunay Kafkas, genç milli takımlarda yeni bir sistem uygulayacaklarını söyledi.",Spor
"EuroCup ekiplerinden Levallois Metropolitans forması giyen Boris Diaw, Fransa Ligi karşılaşmasında Bourg'a karşı kendi yarı sahasından bulduğu isabetle maçı kazandırdı.",Spor
"VakıfBank, Şampiyonlar Ligi'nde adını gruplara yazdırdı. VakıfBank, Minchanka Minsk'i 25-21, 25-16 ve 25-16'lık setlerle 3-0 mağlup ederek gruplara kalmayı başardı.",Spor
"Erkekler tenisinde grand slam turnuvalarını bu yıl kimseye bırakmayan Roger Federer ve Rafael Nadal, ortaya koydukları performansla sezona damga vurdu.",Spor
"Anadolu Efes'in Sırp pivotu Stimac, THY Euroleague'de 6. haftanın en değerli oyuncusu oldu.",Spor
"NBA'de Milli basketbolcu Cedi Osman'ın görev yaptığı Cleveland Cavaliers, Dallas Mavericks'i 111-104 mağlup etti.",Spor
Formula 1 Dünya Şampiyonası'nda sezonun 19. yarışı Brezilya Grand Prix'sine Mercedes'in Fin pilotu Valtteri Bottas ilk sıradan başlayacak.,Spor
Beşiktaş'ta Şenol Güneş'in yeni yardımcısı Pepe oldu. Siyah-beyazlılarda Tamer Tuna'nın boşluğunu Portekizli yıldız doldurdu.,Spor
"Birmingham ile sezon başında anlaşan ancak İngiltere'deki çalışma koşullarını yerine getiremeyen Trabzonsporlu oyuncu, Nijerya Milli Takımı ile son 2 yılda 9 maça çıkıp bu engeli ortadan kaldırdı.",Spor
"Galatasaray'da geride kalan sezonun önemli isimlerinden Selçuk İnan, Eren Derdiyok, Yasin Öztekin ve Sinan Gümüş, bu sezon gözden düştü. ",Spor
Beşiktaş kaptanı Oğuzhan Özyakup için ilk teklifin Premier Lig ekibi Everton'dan geldiği iddia edildi.,Spor
"Cimbom ile yolları ayrıldıktan sonra Fransa'nın Nice kulübüne transfer olan Wesley Sneijder, hâlâ kayıplarda.",Spor
Fenerbahçe'de çalışma şekli ve saatinde değişiklik,Spor
Hazırlık maçında İskoçya ile Hollanda karşı karşıya geldi. Beşiktaşlı Babel'in asist yaptığı ve iyi bir performans sergilediği mücadeleyi Hollanda 1-0 kazandı.,Spor
"Süper Lig'in 12. haftasında sahasında Demir Grup Sivasspor ile karşılaşacak Fenerbahçe, bu maçın hazırlıklarını 21 yaş altı takımıyla oynadığı antrenman maçıylla sürdürdü. Fenerbahçe, gençlerini 5-0 yendi.",Spor
"Geçirdiği sakatlık sonrasında istikrar yakalayamayan Burak Yılmaz, Osmanlıspor mücadelesinde sahalara dönmeye hazırlanıyor. ",Spor
"Fenerbahçe Kulübü, Türkiye Futbol Federasyonu (TFF) Kulüp Lisans Kurulu kararı neticesinde, UEFA Kulüp Lisans ve Finansal Fair Play Lisans Sertifikası almaya hak kazandı.",Spor
Skrtel'in Slovakya formasını 90 dakika giymesi şaşırttı,Spor
"Galatasaray'ın Hırvat teknik direktörü Igor Tudor gündemi değerlendirdi, önemli açıklamalarda bulundu. ",Spor
"NBA'de Los Angeles Lakers forması giyen Ball, Milwaukee Bucks'a 98-90 yenildikleri maçta ""triple-double"" yaparak NBA'de bu istatistiğe ulaşan en genç isim oldu.",Spor
"THY Euroleague'in 6. haftasında Fenerbahçe Doğuş, Almanya deplasmanında Brose Baskets Bamberg'i, Anadolu Efes de İspanya'da Barcelona Lassa'yı mağlup etti.",Spor
"Amerikan Basketbol Ligi'nde (NBA) Boston Celtics, konuk ettiği Charlotte Hornets'ı 90-87 mağlup ederek galibiyet serisini 11 maça çıkardı.",Spor
"Vestel Venus Sultanlar Ligi 7. hafta müsabakasında Galatasaray, Bursa Büyükşehir Belediyespor'u 3-1 yendi.",Spor
"MotoGP Dünya Şampiyonası'nın son yarışı Valencia Grand Prix'sinde 3. olan Repsol Honda'dan İspanyol Marc Marquez, 4. kez şampiyonluğa ulaştı.",Spor
Ligde 2016-2017 sezonu şampiyonu hafta sonu İzmir'de belli olacak.,Spor
"Teniste tek kadınlarda 2017 sezonunu zirvede tamamlamayı garantileyen Simona Halep, bunu başaran ilk Rumen kadın tenisçi olarak tarihe geçti.",Spor
"İsviçreli tenisçi Martina Hingis, WTA Finalleri sonrası kariyerini noktalayacağını duyurdu.",Spor
"(A) Milli Futbol Takımı Teknik Direktörü Abdullah Avcı, 2014 Dünya Kupası Avrupa Elemeleri (D) Grubu'nda 12 Ekim Cuma günü Romanya ile çok zorlu bir maç oynayacaklarını belirterek, ”Her takımı yenebilecek kapasitede olduğumuzu biliyoruz” dedi.",Spor
Hentbol Erkekler Süper Ligi'nin son şampiyonu Beşiktaş ile Hentbol Bayanlar Süper Ligi takımlarından Antalya Muratpaşa Belediyesi ve İzmir Büyükşehir Belediyesi hafta sonunda Avrupa'da sahaya çıkacak.,Spor
"Avrupa Futbol Federasyonları Birliği (UEFA), Montpellier Teknik Direktörü Rene Girard'a, takımın Şampiyonlar Ligi'nde Schalke ile oynadığı maçtaki ''uygunsuz hareket''i nedeniyle 2 maçlık men cezası verdi.",Spor
"A) Milli Futbol Takımı'nın tecrübeli kalecisi Volkan Demirel, 2014 Dünya Kupası Avrupa Elemeleri'nde 12 Ekim Cuma günü İstanbul'da Romanya ile yapacakları karşılaşmayı kazanarak 16 Ekim'deki Macaristan deplasmanına gitmek istediklerini söyledi.",Spor
"Atletico Madrid'in genel menajeri Gil Marin, finansal sorunları yüzünden Kolombiyalı forveti sezon sonunda 60 milyon euro bonservis bedeliyle satmayı düşündüklerini açıkladı.",Spor
Fenerbahçe ile yollarını ayıran Alex de Souza için Coritiba taraftarları bir karşılama töreni hazırlıyor.,Spor
Nijerya Milli Takımı kampında bulunan Fenerbahçeli futbolcu Josep Yobo'nun sakatlandığı öğrenildi.,Spor
A Milli Takımda yaşanan sakatlıklar son bulmuyor...,Spor
Cluj maçı hazırlıklarını sürdüren Galatasaray'da tedavileri süren Semih Kaya ve Hamit Altıntop antrenmana katılmadı.,Spor
UEFA Şampiyonlar Ligi'ndeki Galatasaray-Cluj maçını İtalyan hakem Paolo Tagliavento yönetecek.,Spor
"Turuncu-lacivertliler, yarınki maçta Kayserispor'u yenerek, 3 puan hasretine son vermek istiyor.",Spor
"Tenis Federasyonu Başkanı Uluç, uluslararası kadınlar tenis turnuvası için her anlamda hazır olduklarını söyledi.",Spor
"Dünya Supersport şampiyonu milli motosikletçi Kenan Sofuoğlu, motokros yarışı için Belçika'da bulunuyor.",Spor
"Teknik direktör Bülent Uygun, SB Elazığspor'un eksiklerine rağmen, Vural sayesinde ligde kalacağını söyledi.",Spor
"Barcelona, deplasmanda Deportivo'yu 5-4 mağlup etti.",Spor
"Trabzonspor Teknik Direktörü Şenol Güneş, ligde çok kolay puanlar kaybettiklerini söyledi.",Spor
"Polonya Spor Bakanı Mucha, ertelenen maçtan ötürü istifa etti",Spor
"Galatasaray Kulübü, UEFA Şampiyonlar Ligi'nde Cluj ile Türk Telekom Arena'da dün oynanan maçta, sağanak nedeniyle saha zemininde yaşanan sorunlarla ilgili açıklama yayımladı.",Spor
İstanbul'da düzenlenen TEB BNP Paribas WTA Sezon Sonu Tenis Turnuvası'nda şok bir sakatlık yaşandı...,Spor
"Fenerbahçe, UEFA Avrupa Ligi (C) Grubu'nda deplasmanda Kıbrıs Rum Kesimi takımı AEL Limassol ile yarın oynayacağı üçüncü maç için bu ülkeye gitti.",Spor
"Barcelona'dan sezon başında ayrılan ve 222 milyon Euro'ya (Yaklaşık 1 milyar TL) Fransız temsilcisi PSG'ye transfer olan Neymar'ı, Katalan ekibinin ezeli rakibi Real Madrid'in istediği öğrenildi.",Spor
Beşiktaş forması altında gösterdiği performansla özellikle Premier Lig ekiplerinin dikkatini çeken Cenk Tosun için yeni bir iddia da İngiliz Evening Chronicle gazetesinden geldi.,Spor
"Koray ile Sivasspor'un yakından ilgilendiği öğrenilirken, 23 yaşındaki oyuncu için Galatasaray'ın bonservis istemediği öğrenildi.",Spor
"Türkiye A Milli Futbol Takımı Teknik Direktörü Mircea Lucescu, Dünya Kupası Elemeleri play-off'ları için verilen arada Milli Takım'a son maçtan 10 ismi çağırmazken 6 yeni futbolcuya davet yolladı.",Spor
"Arda Turan transferinde taşlar yerine oturuyor, milli yıldız adım adım yuvaya dönüyor.",Spor
Sol bek arayan Sarı-Lacivertliler'e hemen her gün yeni bir aday öneriliyor. Menacerlerin Fenerbahçe'ye teklif ettiği isimlerden biri de İnter'in tecrübeli oyuncusu Yuto Nagatomo.,Spor
Evkur Yeni Malatyaspor maçında sakatlığı sebebiyle oynayamayan Emre Belözoğlu'nun durumunun iyi gittiği ve Galatasaray maçında sahada olacağı öğrenildi.,Spor
"Trabzon'da gördüğü kırmızı kart Feghouli'yi psikolojik açıdan çökertti. Cezayir Milli Takımı'ndan kesik yiyen yıldız, G.Saray'ın Ümraniyespor ile oynadığı hazırlık maçında da tel tel döküldü.",Spor
"İngiltere Premier Lig ekiplerinden Chelsea, Inter'in yıldız golcüsü Mauro Icardi'yi renklerine bağlamak için harekete geçti.",Spor
Beşiktaş'ın kadro rotasyonunda şans bulamayan Mustafa Pektemek'e eski hocası talip oldu. ,Spor
"Kayserispor Kulübü Başkanı Erol Bedir, Galatasaray'ın Deniz Türüç ve Atila Turan transferi karşılığında Donk, Linnes, Tarık ve Yasin'i takasta kullanacağı yönünde çıkan haberin doğru olmadığını söyledi.",Spor
Yeni Malatyaspor'da Boutaib sevinci yaşanıyor. Fas Milli Takımı ile Dünya Kupası'nda oynanayacak olan Boutaib'in vitrine çıkacak olması Malatyaspor'da yüzleri güldürdü.,Spor
Fenerbahçe'de Ozan Tufan'dan iyi haber geldi. Milli Takım'da sakatlanan futbolcunun MR sonuçları temiz çıktı.,Spor
"Anadolu Efes, THY Euroleague'in 7. haftasında yarın Maccabi FOX'a konuk olacak.",Spor
"Profesyonel Tenisçiler Birliği (ATP) Finalleri'nin ilk gününde Roger Federer, Jack Sock'u, Alexander Zverev de Marin Cilic'i yendi.",Spor
İspanya Ligi ekiplerinden Real Madrid'de Gareth Bale krizi yaşanıyor.,Spor
Fenerbahçe'de Mehmet Topal'dan alınan 2. kaptanlık görevi Fransız yıldız Mathieu Valbuena'ya verildi.,Spor
"Galatasaray'ın iç saha maçlarını oynadığı Türk Telekom Arena'nın zemin yenileme çalışması kapsamında, çimler serilmeye başlandı.",Spor
"Özel Sporcular Atletizm Milli Takımı, Mart ayında İstanbul'da yapılacak Özel Sporcular Salon Atletizm Avrupa Şampiyonası'nda Türkiye'ye madalyalar kazandırmak için hazırlıklarını İzmir'de sürdürüyor.",Spor
"Dakar Rallisi'nde otomobil kategorisinde beşinci etabın galibi, İspanyol pilot Nani Roma oldu.",Spor
Brezilyanın herkes tarafından sevilen eski tenisçilerinden Gustavo Kuerten ile dünya 1 numarası Novak Djokovic Brezilyada buluştu.,Spor
NBA'da son üç maçını da kaybeden Houston Rockets evinde Chicago Bulls'u 93-89 yenerek kötü gidişe son verdi.,Spor
"Amerikan Ulusal Basketbol Ligi'nde (NBA) Miami Heat'e uzatmada 113-106 yenilen Milwaukee Bucks'da, milli basketbolcu Ersan İlyasova 4 sayıyla oynadı.",Spor
"Voleybolda Türk takımlarının Avrupa kupalarındaki mücadelesi sürüyor.Avrupa şampiyonlar ligi'nde, bayanlarda Vakıfbank namağlup liderliğini korudu. Vakıfbank, (A) Grubu'ndaki 4. maçında deplasmanda Fransa'nın RC Cannes takımını 3-2 yendi. ",Spor
Bayanlar Voleybol 1. Lig'de 6. haftanın ilk maçında Galatasaray Daikin ile Sarıyer Belediyesi İstanbul'da karşı karşıya gelecek.,Spor
"UEFA Avrupa Ligi C Grubu'ndaki 4. maçında Borussia Mönchengladbach'ı konuk eden Marsilya; geriye düştüğü mücadeleyi ""kazandım"" derken, 90+3'te 1 puana razı oldu ",Spor
"İngiliz Milli Takımı'nda bir ilk yaşanıyor. İlk kez, Türk asıllı bir futbolcu kadroya alındı ",Spor
"Spor Toto 3'üncü Lig'de mücadele eden Diyarbakır Büyükşehir Belediyespor, Türkiye liglerinin namağlup tek takımı unvanını elinde bulunduruyor ",Spor
"İbb'nin Kamerunlu golcüsü hocasıyla görüştü ve ayrılmak istediğini söyledi. 30 yaşındaki forvetin danışmanı da, Fenerbahçe'nin bu oyuncuyu istediğini açıkladı ",Spor
"Türk takımları bu sezon Avrupa Kupaları'nda toplam 21 puan kazanırken, Fenerbahçe ilk sırayı aldı ",Spor
"Real Madrid'in yıldız ismi Cristiano Ronaldo, bir kez daha Altın Top Ödülü'nün kendisine verilmesi gerektiğini söyledi ",Spor
A Milli Takımın Danimarka maçı aday kadrosu ve programı açıklandı,Spor
"Beşiktaş Kulübü, yakın zamanda sözleşmesi sona erecek futbolcularından İsmail Köybaşı ile 3 yıllık sözleşme imzaladı.",Spor
"Ciddi sakatlığının ardından sahalara dönüşünün 2 ayı bulabileceği iddia edilen İsveçli futbolcunun, bugünkü antrenmanın tamamında takımla birlikte çalışması şaşkınlık yarattı.",Spor
Şampiyonlar Ligi'nde Galatasaray ile karşılaşacak olan Manchester United'da Nani'nin en az 10 gün sahalardan uzak kalacağı açıklandı.,Spor
